[0:00 -> 0:02]  Learning to code is so different in 2026.
[0:02 -> 0:07]  So in this video, I shall explain to you how to learn to code in 2026.
[0:07 -> 0:09]  Starting off with what coding actually looks like today, it looks very different.
[0:09 -> 0:13]  Then I'll explain what you should be learning that is still relevant right now and for the future.
[0:13 -> 0:16]  And finally, some tips on how to supercharge your learning.
[0:16 -> 0:20]  Oh, by the way, just in case you have any doubt about whether you should still learn how to code in 2026,
[0:20 -> 0:26]  the answer is yes, there are still so many opportunities that are only available with people who know how to code.
[0:26 -> 0:30]  Plus, learning to code in 2026 is so much easier and faster than it used to be.
[0:30 -> 0:33]  So it's kind of a no-brainer if you want to build stuff.
[0:33 -> 0:36]  Now with that out of the way, in case you don't know me, hi, my name is Tina.
[0:36 -> 0:41]  I used to be a data scientist at Metta and I have been coding for 10 years without further ado.
[0:41 -> 0:42]  Let's go.
[0:42 -> 0:45]  A portion of this video is sponsored by Warp.
[0:45 -> 0:51]  On February 3rd, 2025, Andre Kaparthy, the previous director of AI at Tesla and the founding member of OpenAI,
[0:51 -> 0:54]  made a viral tweet defining a new term called vibe coding.
[0:54 -> 0:58]  He explains, there's a new kind of coding I call vibe coding, where you fully give into the vibes,
[0:58 -> 1:01]  embrace exponentials, and I forget that the code even exists.
[1:01 -> 1:04]  It's not too bad for throwaway weakened projects, but still quite amusing.
[1:04 -> 1:10]  Then, almost exactly a year later on February 5th, 2026, he made another post.
[1:10 -> 1:15]  Today, one year later, programming via LM agents has increasingly becoming a default workflow for professionals,
[1:15 -> 1:17]  except with more oversight and scrutiny.
[1:17 -> 1:21]  Now to differentiate this much more sophisticated integral workflow from vibe coding,
[1:21 -> 1:24]  he said his current favorite term for it is, agentic engineering.
[1:24 -> 1:28]  You have your terminal, slash IDE open, where you have multiple coding agents,
[1:28 -> 1:32]  coding fiercely away for you, and you're like, build this, fix this.
[1:32 -> 1:33]  No, don't do that.
[1:33 -> 1:34]  Do this instead.
[1:34 -> 1:37]  Orcustrating your AI agents like a puppet master.
[1:37 -> 1:38]  But do not be fool.
[1:38 -> 1:43]  It may look like you're just speaking English to the AI agents and just orchestrating them,
[1:43 -> 1:46]  but you need to be an experienced software engineer to even do that.
[1:46 -> 1:50]  You need to know how to structure what it is that you want to build in a way that the AI agents can
[1:50 -> 1:52]  understand, be able to provide context and documentation.
[1:52 -> 1:57]  And in order to correct the AI and tell it that it's wrong, you need to actually know what is right.
[1:57 -> 2:00]  To be a good manager, you need to know what it is that you're managing.
[2:00 -> 2:05]  So, that is why if you want to learn how to code in 2026, you still need to know the fundamentals of
[2:05 -> 2:06]  coding and engineering.
[2:06 -> 2:11]  But instead of focusing so much on the details of the code implementation itself,
[2:11 -> 2:14]  it's about understanding big picture software design, systems, and architecture.
[2:14 -> 2:19]  And particular emphasis on security and privacy, because these are the things that AI
[2:19 -> 2:21]  coding agents tend to struggle the most with.
[2:21 -> 2:25]  Then you can actually move on to take advantage of the AI coding tools that we have available today
[2:25 -> 2:27]  and really do agent take engineering.
[2:27 -> 2:29]  So, shall I tell you what it is that you need to learn?
[2:29 -> 2:32]  All right, I'm going to list out the topics in a roughly chronological order that I think you
[2:32 -> 2:36]  should be learning, assuming you don't know anything, and also suggest some resources on these topics.
[2:38 -> 2:42]  Okay, so first thing that you want to learn is the basics of coding itself.
[2:42 -> 2:48]  Stuff like variables, types, if statements, loops, object-oriented programming, and APIs.
[2:48 -> 2:52]  Also, I'm using Python as the demo language to learn, which is particularly good if you want to
[2:52 -> 2:56]  be building AI agents and doing data stuff. But if you want to be doing something more like web stuff,
[2:56 -> 2:59]  like developing web apps, you might want to start off the language that I dropped the script.
[2:59 -> 3:01]  It's okay though, because I'm going to give you guys a prompt at the end of the section
[3:01 -> 3:06]  that you can use to customize this learning plan, specific to the language of what you want to be learning.
[3:06 -> 3:10]  Okay, great. So these are the basic basics. Like, you really need to know these.
[3:10 -> 3:13]  Otherwise, you wouldn't even be able to read the code that the AI generates.
[3:13 -> 3:17]  That's so I can't stop me because I can read.
[3:17 -> 3:20]  And I'm going to put on screen now some of my favorite resources on this topic.
[3:20 -> 3:24]  I personally recommend going with these human-made resources,
[3:24 -> 3:26]  because we know that they're really good. They've been vetted by thousands of engineers.
[3:26 -> 3:31]  Besides, all AI-generated code is based upon code that was written by human developers for decades.
[3:31 -> 3:34]  Next up, you need to learn about software architecture.
[3:34 -> 3:37]  What that means is how is it that projects are structured?
[3:37 -> 3:41]  How do you choose a text stack, the system design, what kind of APIs should you be using,
[3:41 -> 3:44]  and how the data flows through your software, and where is it being stored?
[3:44 -> 3:45]  What kind of databases are you using?
[3:45 -> 3:49]  And testing. Testing is so important, especially if you're using AI coding agents.
[3:49 -> 3:52]  You need to understand how to write test cases and how to test different parts of your software.
[3:52 -> 3:54]  And finally, how does deployment work?
[3:54 -> 3:56]  Where are you going to be hosting your software?
[3:56 -> 3:58]  Does this like the bread and butter of software engineering?
[3:58 -> 4:04]  And you really need to understand these high-level things to be able to direct your AI,
[4:04 -> 4:08]  to be building the things I should be building and redirecting it when it's doing something wrong.
[4:08 -> 4:11]  You need to be able to conceptualize what the end product should look like,
[4:11 -> 4:13]  based upon the requirements that you have.
[4:13 -> 4:17]  For example, at work, you might want to build a software that stores a massive amount of information
[4:17 -> 4:19]  and have lots of people querying it all the time.
[4:19 -> 4:22]  So then you need to be thinking, what sort of database should I be using?
[4:22 -> 4:23]  That is cheap, safe, and fast.
[4:23 -> 4:27]  And how do I design a user interface that allows for multiple people querying at the same time?
[4:27 -> 4:30]  These are all like design questions that you need to be able to understand.
[4:30 -> 4:34]  I'm going to put on screen now some resources that you can check out to learn about these topics.
[4:34 -> 4:36]  Next up is version control and GitHub.
[4:36 -> 4:41]  By version control, we mean a system that's able to track the changes in your files and code over time.
[4:41 -> 4:44]  So you can track the history, revert back if you need to,
[4:44 -> 4:46]  and collaborate simultaneously with other people as well.
[4:46 -> 4:50]  There are actually a lot of different types of version control software out there.
[4:50 -> 4:51]  The most popular one is called Git.
[4:51 -> 4:56]  So people would use Git in order to do version control and then put their code on something called GitHub.
